CAR_ID,TIME_STAMP,LONGITUDE,LATITUDE,DIRECTION,SPEED,PASSENGER_STATUS
100,2015-02-02 00:00:02,114.318207,30.556747,260,15,empty
100,2015-02-02 00:01:02,114.312407,30.556325,304,27,empty
100,2015-02-02 00:02:02,114.310792,30.559947,260,29,empty
100,2015-02-02 00:04:02,114.304893,30.56239,308,4,empty
100,2015-02-02 00:05:02,114.303473,30.563087,0,0,empty
100,2015-02-02 00:06:02,114.302977,30.563175,264,17,empty
100,2015-02-02 00:07:02,114.300167,30.557815,246,19,empty
100,2015-02-02 00:08:02,114.295493,30.557737,286,24,empty
100,2015-02-02 00:09:02,114.295142,30.557692,0,0,empty
100,2015-02-02 00:10:02,114.295128,30.557707,0,0,empty
100,2015-02-02 00:11:02,114.29512,30.55771,0,0,empty
100,2015-02-02 00:12:02,114.2951,30.557703,0,0,empty
100,2015-02-02 00:13:02,114.29512,30.557688,0,0,empty
100,2015-02-02 00:15:02,114.295167,30.55771,0,0,empty
100,2015-02-02 00:16:02,114.29514,30.557698,0,0,empty
100,2015-02-02 00:17:02,114.295143,30.557665,0,0,empty
100,2015-02-02 00:18:02,114.295187,30.557663,0,0,empty
100,2015-02-02 00:19:02,114.295173,30.557667,0,0,empty
100,2015-02-02 00:20:02,114.295132,30.557668,0,0,empty
100,2015-02-02 00:21:02,114.29515,30.55765,0,0,empty
100,2015-02-02 00:22:02,114.295145,30.55766,0,0,empty
100,2015-02-02 00:23:02,114.295128,30.557665,0,0,empty
100,2015-02-02 00:24:02,114.295148,30.557661,0,0,empty
100,2015-02-02 00:25:02,114.295155,30.55767,0,0,empty
100,2015-02-02 00:27:02,114.295087,30.557618,0,0,empty
100,2015-02-02 00:28:02,114.295095,30.557632,0,0,empty
100,2015-02-02 00:29:02,114.295112,30.557638,0,0,empty
100,2015-02-02 00:31:02,114.295137,30.557638,0,0,empty
100,2015-02-02 00:32:02,114.295128,30.557646,0,0,empty
100,2015-02-02 00:33:02,114.29513,30.55765,0,0,empty
100,2015-02-02 00:35:02,114.29513,30.557677,0,0,empty
100,2015-02-02 00:36:02,114.295113,30.557685,0,0,empty
100,2015-02-02 00:37:02,114.295113,30.557695,0,0,empty
100,2015-02-02 00:39:02,114.295127,30.557708,0,0,empty
100,2015-02-02 00:40:02,114.295145,30.557715,0,0,empty
100,2015-02-02 00:41:02,114.295127,30.55771,0,0,empty
100,2015-02-02 00:43:02,114.295168,30.557657,0,0,empty
100,2015-02-02 00:44:02,114.295173,30.55765,0,0,empty
100,2015-02-02 00:45:02,114.295178,30.557661,0,0,empty
100,2015-02-02 00:46:02,114.295162,30.557675,0,0,empty
100,2015-02-02 00:47:02,114.295142,30.557686,0,0,empty
100,2015-02-02 00:48:02,114.295163,30.557696,0,0,empty
100,2015-02-02 00:49:02,114.295185,30.557746,0,0,empty
100,2015-02-02 00:50:02,114.29518,30.557742,0,0,empty
100,2015-02-02 00:51:02,114.295182,30.557745,0,0,empty
100,2015-02-02 00:52:02,114.295163,30.557737,0,0,empty
100,2015-02-02 00:54:02,114.295188,30.557723,0,0,empty
100,2015-02-02 00:55:02,114.295175,30.557707,0,0,empty
100,2015-02-02 00:56:02,114.29517,30.557718,0,0,empty
100,2015-02-02 00:58:02,114.296368,30.55759,90,18,empty
100,2015-02-02 00:59:02,114.30033,30.557743,282,5,empty
100,2015-02-02 01:00:02,114.299913,30.55597,198,9,empty
